CommunistDefensive,l0,l1,l2,,,41,230,1
CommunistAgressive,l0,l1,,,,15,122,1
Boss,l0,l1,,,,8,76,1
CommunistDefensive,l0,l1,l2,l3,,24,162,1
CommunistAgressive,l0,l1,l2,l3,l4,43,252,1
Boss,l0,l1,l2,l3,l4,13,89,1
Nailer,l0,l1,l2,l3,,64,295,4
Boss,l0,l1,l2,,,12,95,1
CommunistDefensive,l0,l1,l2,l3,l4,33,212,1
Nailer,l0,,,,,17,105,1
Nailer,l0,l1,l2,l3,l4,48,354,1
Boss,d0,d1,d2,,,14,63,4
Nailer,d0,d1,d2,d3,d4,597,3248,2
CommunistAgressive,l0,l1,l2,,,28,211,1
CommunistAgressive,l0,,,,,10,84,1
CommunistDefensive,l0,,,,,10,85,1
Boss,l0,,,,,9,73,1
BorderControl,l0,l1,l2,l3,,15,60,5
Nailer,l0,l1,,,,34,245,1
Nailer,l0,l1,l2,,,32,236,1
CommunistDefensive,l0,l1,,,,15,135,1
BorderControl,l0,,,,,6,67,1
CommunistAgressive,l0,l1,l2,l3,,44,200,4
Boss,l0,l1,l2,l3,,27,209,1
BorderControl,l0,l1,l2,l3,l4,39,199,4
BorderControl,l0,l1,l2,,,9,95,1
CommunistDefensive,l0,l1,l2,,,19,143,1
CommunistAgressive,l0,l1,,,,19,161,1
Boss,l0,l1,,,,11,111,1
CommunistDefensive,l0,l1,l2,l3,,28,177,1
CommunistAgressive,l0,l1,l2,l3,l4,31,199,1
Boss,l0,l1,l2,l3,l4,17,126,1
Nailer,l0,l1,l2,l3,,27,241,1
Boss,l0,l1,l2,,,11,94,1
CommunistDefensive,l0,l1,l2,l3,l4,90,338,3
Nailer,l0,,,,,22,101,2
Nailer,l0,l1,l2,l3,l4,50,253,2
Boss,d0,d1,d2,,,13,153,1
CommunistAgressive,l0,l1,l2,,,81,364,2
CommunistAgressive,l0,,,,,8,78,1
CommunistDefensive,l0,,,,,14,92,1
Boss,l0,,,,,10,78,1
BorderControl,l0,l1,l2,l3,,74,359,3
Nailer,l0,l1,,,,18,144,1
Nailer,l0,l1,l2,,,42,195,4
CommunistDefensive,l0,l1,,,,22,108,3
BorderControl,l0,,,,,8,86,1
CommunistAgressive,l0,l1,l2,l3,,33,221,1
Boss,l0,l1,l2,l3,,24,164,1
BorderControl,l0,l1,l2,l3,l4,47,197,4
BorderControl,l0,l1,l2,,,10,96,1
CommunistDefensive,l0,l1,l2,,,22,190,1
CommunistAgressive,l0,l1,,,,21,158,1
Boss,l0,l1,,,,10,88,1
CommunistDefensive,l0,l1,l2,l3,,21,170,1
CommunistAgressive,l0,l1,l2,l3,l4,61,361,1
Boss,l0,l1,l2,l3,l4,16,114,1
Nailer,l0,l1,l2,l3,,25,196,1
Boss,l0,l1,l2,,,14,135,1
CommunistDefensive,l0,l1,l2,l3,l4,28,196,1
Nailer,l0,,,,,11,94,1
Nailer,l0,l1,l2,l3,l4,26,105,4
Boss,d0,d1,d2,,,112,257,3
Nailer,d0,d1,d2,d3,d4,84,265,5
CommunistAgressive,l0,l1,l2,,,25,222,1
CommunistAgressive,l0,,,,,6,55,1
CommunistDefensive,l0,,,,,9,79,1
Boss,l0,,,,,9,76,1
BorderControl,l0,l1,l2,l3,,29,285,1
Nailer,l0,l1,,,,74,302,3
Nailer,l0,l1,l2,,,19,80,4
CommunistDefensive,l0,l1,,,,13,114,1
BorderControl,l0,,,,,18,105,2
CommunistAgressive,l0,l1,l2,l3,,15,100,1
Boss,l0,l1,l2,l3,,13,118,1
BorderControl,l0,l1,l2,l3,l4,13,155,1
BorderControl,l0,l1,l2,,,15,147,1
CommunistDefensive,l0,l1,l2,,,17,112,1
